"aicc","model"
2224.47297831642,"(1,2,2)(0,3,3)[12]"
2225.64986547768,"(1,2,3)(0,3,3)[12]"
2225.6819350164,"(2,2,2)(0,3,3)[12]"
2226.00986572535,"(0,2,2)(0,3,3)[12]"
2226.16876297737,"(0,2,3)(0,3,3)[12]"
2226.37941873177,"(1,2,2)(0,3,4)[12]"
2226.41383635159,"(1,2,2)(1,3,2)[12]"
2226.67444504518,"(0,2,4)(0,3,3)[12]"
2226.72587431982,"(1,2,2)(1,3,3)[12]"
2227.09263093784,"(1,2,2)(2,3,2)[12]"
2227.46137295905,"(2,2,2)(1,3,2)[12]"
2227.657758711,"(1,2,3)(1,3,2)[12]"
2227.77325532496,"(0,2,2)(0,3,4)[12]"
2228.21034947281,"(1,0,1)(0,3,3)[12]"
2228.35524472479,"(0,2,3)(0,3,4)[12]"
2228.40536433982,"(0,2,2)(2,3,2)[12]"
2228.40732661146,"(2,0,0)(0,3,3)[12]"
2228.71914920928,"(0,2,3)(2,3,2)[12]"
2229.2622559959,"(1,0,0)(0,3,3)[12]"
2229.80368864908,"(1,0,1)(1,3,2)[12]"
2229.97845535754,"(0,2,2)(0,3,5)[12]"
2230.00714054514,"(2,0,0)(1,3,2)[12]"
2230.38788865429,"(2,0,1)(0,3,3)[12]"
2230.42054425842,"(1,0,1)(1,3,3)[12]"
2230.42622023239,"(1,0,1)(0,3,4)[12]"
2230.43288402159,"(1,0,2)(0,3,3)[12]"
2230.45306534454,"(0,2,2)(2,3,3)[12]"
2230.4832069672,"(2,2,1)(0,3,3)[12]"
2230.48607195719,"(3,0,0)(0,3,3)[12]"
2230.63541757171,"(2,0,0)(1,3,3)[12]"
2230.63704396045,"(2,0,0)(0,3,4)[12]"
2230.83811663191,"(1,0,0)(1,3,2)[12]"
2230.8384627902,"(1,0,1)(2,3,2)[12]"
2230.97753569963,"(1,2,1)(0,3,3)[12]"
2231.10475739227,"(2,0,0)(2,3,2)[12]"
2231.24033650971,"(0,2,2)(3,3,2)[12]"
2231.37198040758,"(2,2,1)(1,3,2)[12]"
2231.37910123903,"(1,0,0)(1,3,3)[12]"
2231.40072438614,"(1,0,0)(0,3,4)[12]"
2231.93185854248,"(1,2,1)(1,3,2)[12]"
2231.93249425525,"(3,2,1)(0,3,3)[12]"
2232.03521825064,"(2,0,1)(1,3,2)[12]"
2232.03655822364,"(1,0,2)(1,3,2)[12]"
2232.03786201638,"(1,0,0)(2,3,2)[12]"
2232.06544400248,"(3,0,0)(1,3,2)[12]"
2232.08964644277,"(1,1,1)(0,3,3)[12]"
2232.43976759805,"(1,0,1)(0,3,5)[12]"
2232.44890566981,"(1,0,1)(2,3,3)[12]"
2232.45608982473,"(1,0,3)(0,3,3)[12]"
2232.46086707939,"(1,0,1)(1,3,4)[12]"
2232.59301902959,"(2,0,0)(0,3,5)[12]"
2232.62127944736,"(2,2,1)(0,3,4)[12]"
2232.63168730473,"(2,0,1)(1,3,3)[12]"
2232.64066575168,"(2,0,1)(0,3,4)[12]"
2232.64296026315,"(2,0,0)(2,3,3)[12]"
2232.67917163259,"(1,0,2)(1,3,3)[12]"
2232.684626359,"(1,0,2)(0,3,4)[12]"
2232.68578323439,"(2,0,0)(1,3,4)[12]"
2232.70165721868,"(2,2,1)(1,3,3)[12]"
2232.7152459936,"(2,0,2)(0,3,3)[12]"
2232.72667849697,"(1,2,1)(0,3,4)[12]"
2232.73514267168,"(3,0,0)(1,3,3)[12]"
2232.7393667161,"(3,0,0)(0,3,4)[12]"
2232.74722341847,"(3,2,1)(1,3,2)[12]"
2232.74917898155,"(4,0,0)(0,3,3)[12]"
2232.88024799779,"(2,2,1)(2,3,2)[12]"
2232.89836426347,"(1,0,1)(3,3,2)[12]"
2232.90816898689,"(3,0,1)(0,3,3)[12]"
2232.93838416853,"(1,2,1)(1,3,3)[12]"
2233.09240065889,"(1,0,2)(2,3,2)[12]"
2233.16271462203,"(3,0,0)(2,3,2)[12]"
2233.22900134633,"(1,0,0)(0,3,5)[12]"
2233.29433770539,"(1,0,0)(2,3,3)[12]"
